,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,0.13759595534346405,0.09501068360329791,0.10196400679149606,0.605888406572503,0.14446286221096127,0.09635291916746115,0.357394757139838,0.18047812407303554,0.3698298392205047,0.23446067783128086,0.6811692009251817,0.17534332438326092,0.13086658471525578,0.12119061139956526,0.0,0.3889866985914235,0.29759961905334315,0.2926516356522556,Cliff's Delta,0.13580246913580246,-0.4567901234567901,0.6790123456790124
1,P9,0.1328978279685391,0.08986582990062675,0.0440663026392203,0.029130606624104348,0.13017314951692063,0.10440580920562183,0.1503106761350729,0.0033167495854063,0.12279464021905682,0.09744728930439195,0.11307073678300451,0.3156509555515394,0.1030186068646882,0.045552041765700386,0.0,0.04883338781568873,0.0644308758518378,0.03651541464119906,Cliff's Delta,-0.18518518518518517,-0.7283950617283951,0.4074074074074074
2,P2,0.3142867170092874,0.17136041327196627,0.23124807016280122,0.2715427382917921,0.1113342741695165,0.181224884451308,0.0,0.058876550858729775,0.0,0.26955918659850925,0.12230690286390923,0.08370842246719273,0.30968675597738,0.07609057600341435,0.01295610787942885,0.47541833564678465,0.32457210150691873,0.1535966137836077,Cliff's Delta,0.20987654320987653,-0.35864197530864195,0.7037037037037037
3,P8,0.3651709184367059,0.14390870806734937,0.16455700858690744,0.2704882230015473,0.3230189453758011,0.16240302166966578,0.3130550336667624,0.28802464126857746,0.2204454672694488,0.18442480224387775,0.4365302910540103,0.0777193813689168,0.16856978156487382,0.1739496237205556,0.4176207134921162,0.4868789900096945,0.38247759479362453,0.16251356326272143,Cliff's Delta,0.16049382716049382,-0.40802469135802466,0.7037037037037037
4,P1,0.25722995454568953,0.36880124118159385,0.27620206415882176,0.0012887967687074502,0.0012670068027210667,0.0048114058672402,0.0012062571127148,0.0011820330969267,0.0011614401858304,0.006702689637182399,0.0011641443538998,0.0,0.0,0.0,0.0,0.0011086474501108,0.0010869565217391,0.0,Cliff's Delta,-0.8271604938271605,-1.0,-0.48148148148148145
7,P7,0.3661529050071677,0.15741869279396678,0.14715033529230043,0.23869389331997742,0.2481393493786604,0.2267321499335334,0.3425892450062709,0.021572873048430058,0.0,0.596045197740113,0.062016082445799585,0.2065317705445271,0.31911859783959007,0.07953761071188664,0.0026567609736303497,0.02003484320557485,0.2626199824266577,0.18602829692313141,Cliff's Delta,-0.08641975308641975,-0.654320987654321,0.4567901234567901
8,P5,0.38278060246291884,0.49755980874669736,0.20714273308268388,0.0,0.2829055271585264,0.21180441572554162,0.0,0.0,0.0,0.2872238473601001,0.12458179367975228,0.3072181834808606,0.4763683441063815,0.10326212529578838,0.0,0.24027816533053403,0.13117634976183357,0.518647839472052,Cliff's Delta,0.25925925925925924,-0.2962962962962963,0.7777777777777778
9,P14,0.10106554082916547,0.65528035319169,0.23327462915053354,0.14458667233586,0.18850546210936137,0.17306464519214315,0.24867690802429057,0.253476897853336,0.06383117775884115,0.38611566946827935,0.2136532778275439,0.24108267639010278,0.41608743004858145,0.02042865868161392,0.07974335277062591,0.05824308247691387,0.09430042906612932,0.03374732022461446,Cliff's Delta,-0.2839506172839506,-0.8024691358024691,0.2345679012345679
10,P6,0.0858872608599229,0.28112871432503606,0.40995912648184013,0.1097310512625519,0.1410896229366488,0.0104166666666666,0.14089354617524188,0.5675622447498808,0.587016881718127,0.22193467547061776,0.13917420047788193,0.4646563139520886,0.050517932389566096,0.0,0.1225090814737934,0.006106013228527034,0.21575468793618904,0.39865597856521945,Cliff's Delta,-0.25925925925925924,-0.7530864197530864,0.25925925925925924
13,P4,0.3620369716465474,0.09103369993926125,0.1879673492576718,0.12861703582629283,0.09093146727239226,0.09367555880513409,0.4354728576305907,0.5346901396842006,0.5962074297006358,0.31826800462299637,0.16637805765749208,0.279081832167779,0.09259834066106189,0.24108109519617638,0.21708140823665142,0.2430897903730998,0.11516344478085586,0.08797442413849917,Cliff's Delta,-0.16049382716049382,-0.6796296296296296,0.4567901234567901
