,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,1.7586206896551724,2.135135135135135,2.2444444444444445,11.291666666666666,2.789473684210526,1.6,9.947368421052632,2.5,71.5,4.6,32.0,12.727272727272727,8.615384615384615,38.0,0.0,12.0,6.333333333333333,5.0,Cliff's Delta,0.38271604938271603,-0.16049382716049382,0.9012345679012346
1,P9,1.719298245614035,1.0792079207920793,0.7142857142857143,0.7692307692307693,1.6129032258064515,0.9130434782608695,1.3043478260869565,1.0,1.3611111111111112,0.875,9.242424242424242,1.8333333333333333,2.375,1.2,0.0,0.8222222222222222,1.5,1.411764705882353,Cliff's Delta,0.2345679012345679,-0.35802469135802467,0.7290123456790119
2,P2,1.4,3.6,2.3333333333333335,1.8571428571428572,3.3636363636363638,1.5,0.0,17.25,0.0,4.0476190476190474,2.4210526315789473,1.8571428571428572,3.1,4.533333333333333,1.0,3.6,3.6666666666666665,2.590909090909091,Cliff's Delta,0.38271604938271603,-0.14845679012345678,0.8645061728395058
3,P8,5.514285714285714,7.722222222222222,5.82051282051282,6.0,10.775,8.76923076923077,3.7142857142857144,2.4285714285714284,9.05,3.7628865979381443,5.588235294117647,2.8333333333333335,2.7142857142857144,2.4210526315789473,10.0,5.458333333333333,3.1794871794871793,4.945205479452055,Cliff's Delta,-0.5061728395061729,-0.9753086419753086,-0.012345679012345678
4,P1,5.116279069767442,3.4615384615384617,1.4482758620689655,0.2,0.2,0.2631578947368421,0.375,0.375,0.2,0.0,0.3,0.25,0.0,0.0,0.0,0.0,0.3,0.16666666666666666,Cliff's Delta,-0.7283950617283951,-1.0,-0.30864197530864196
7,P7,3.5,1.3548387096774193,0.5945945945945946,1.5789473684210527,8.0,1.0,5.0,0.7777777777777778,0.0,1.0,1.15,2.0344827586206895,5.125,2.75,0.3333333333333333,0.6666666666666666,2.142857142857143,3.75,Cliff's Delta,0.07407407407407407,-0.4567901234567901,0.6296296296296297
8,P5,9.75,5.0,7.5,0.0,5.466666666666667,6.0,0.0,0.0,0.0,3.473684210526316,5.0588235294117645,5.375,4.5625,78.11111111111111,0.0,5.0,24.4,8.6,Cliff's Delta,0.24691358024691357,-0.32098765432098764,0.7537037037037032
9,P14,0.8,17.982758620689655,2.0377358490566038,5.285714285714286,2.375,3.0,3.8857142857142857,4.09375,1.3076923076923077,1.9104477611940298,3.129032258064516,2.2142857142857144,4.833333333333333,3.1,0.7777777777777778,2.65625,1.2857142857142858,0.6949152542372882,Cliff's Delta,-0.3333333333333333,-0.7530864197530864,0.25925925925925924
10,P6,9.333333333333334,9.636363636363637,7.0,7.0,10.666666666666666,1.0,1.5,3.0,5.333333333333333,4.0,4.230769230769231,1.6666666666666667,2.375,0.0,2.0,1.6666666666666667,3.5833333333333335,3.5,Cliff's Delta,-0.5061728395061729,-1.0,0.08703703703703647
13,P4,3.0526315789473686,1.0,2.0,5.75,1.1818181818181819,1.0,0.5,135.66666666666666,4.5,22.229166666666668,18.705882352941178,26.512820512820515,3.6666666666666665,5.0625,5.571428571428571,3.7948717948717947,6.357142857142857,2.8666666666666667,Cliff's Delta,0.5555555555555556,0.037037037037037035,0.9753086419753086
14,P13,2.5555555555555554,1.9268292682926829,2.15625,1.9166666666666667,4.666666666666667,1.5555555555555556,2.2222222222222223,1.95,4.5,6.574468085106383,2.1470588235294117,2.5121951219512195,13.0,5.482758620689655,0.0,0.0,1.6666666666666667,3.0,Cliff's Delta,0.1111111111111111,-0.4574074074074074,0.654320987654321
15,P12,3.466666666666667,6.111111111111111,4.6,17.25,8.923076923076923,4.375,2.5,5.0,3.5714285714285716,4.0,8.266666666666667,2.2857142857142856,5.375,3.25,0.0,3.1379310344827585,5.214285714285714,4.75,Cliff's Delta,-0.2839506172839506,-0.7777777777777778,0.25925925925925924
16,P10,2.675,5.2727272727272725,3.3666666666666667,5.969387755102041,3.711864406779661,4.278688524590164,2.5121951219512195,3.951219512195122,2.272727272727273,2.8656716417910446,3.7884615384615383,11.096774193548388,2.1666666666666665,2.3877551020408165,0.0,2.2916666666666665,2.933333333333333,0.8823529411764706,Cliff's Delta,-0.4567901234567901,-0.9012345679012346,0.06172839506172839
17,P11,1.3636363636363635,4.758620689655173,6.083333333333333,3.3636363636363638,4.454545454545454,3.0,4.055555555555555,1.5454545454545454,5.4,5.733333333333333,5.291666666666667,3.7142857142857144,2.142857142857143,3.0,10.5,1.8717948717948718,3.4545454545454546,1.1666666666666667,Cliff's Delta,-0.04938271604938271,-0.6172839506172839,0.5061728395061729
