,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,6445.0,2809.0,1225.0,21638.0,959.0,172.0,2743.0,190.0,11800.0,602.0,2369.0,16641.0,4680.0,10866.0,0.0,1653.0,1676.0,1343.0,Cliff's Delta,-0.037037037037037035,-0.5308641975308642,0.5555555555555556
1,P9,1074.0,562.0,35.0,42.0,725.0,411.0,347.0,0.0,508.0,551.0,2835.0,989.0,253.0,31.0,0.0,209.0,73.0,83.0,Cliff's Delta,-0.09876543209876543,-0.6422839506172839,0.4567901234567901
2,P2,3333.0,1896.0,313.0,5170.0,657.0,1748.0,0.0,302.0,0.0,2704.0,2811.0,323.0,2127.0,1068.0,0.0,2727.0,1918.0,515.0,Cliff's Delta,0.20987654320987653,-0.3333333333333333,0.741049382716049
3,P8,3842.0,1612.0,4525.0,933.0,7135.0,9063.0,2362.0,5289.0,12200.0,7135.0,5905.0,1748.0,5506.0,1508.0,0.0,17693.0,7145.0,3541.0,Cliff's Delta,0.0,-0.5061728395061729,0.5308641975308642
4,P1,2399.0,1169.0,322.0,1.0,4.0,14.0,3.0,3.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,Cliff's Delta,-0.7530864197530864,-0.9876543209876543,-0.38271604938271603
7,P7,2794.0,790.0,93.0,1442.0,5599.0,458.0,4581.0,31.0,0.0,105.0,258.0,1053.0,730.0,214.0,2.0,7.0,473.0,182.0,Cliff's Delta,-0.3333333333333333,-0.8277777777777777,0.25925925925925924
8,P5,1468.0,308.0,776.0,0.0,565.0,1377.0,0.0,0.0,0.0,4933.0,842.0,2317.0,8129.0,5645.0,0.0,227.0,1518.0,555.0,Cliff's Delta,0.5555555555555556,0.06172839506172839,0.9265432098765427
9,P14,156.0,3115.0,1353.0,1124.0,1720.0,4218.0,917.0,3730.0,198.0,6774.0,3245.0,667.0,1059.0,143.0,246.0,406.0,414.0,193.0,Cliff's Delta,-0.30864197530864196,-0.8024691358024691,0.25987654320987597
10,P6,562.0,1109.0,133.0,780.0,568.0,1.0,103.0,0.0,2383.0,891.0,1224.0,438.0,99.0,0.0,40.0,63.0,1468.0,304.0,Cliff's Delta,-0.07407407407407407,-0.6296296296296297,0.48148148148148145
13,P4,477.0,126.0,74.0,1696.0,243.0,234.0,1126.0,1968.0,1852.0,2884.0,3317.0,4544.0,745.0,2423.0,614.0,4179.0,2390.0,291.0,Cliff's Delta,0.6790123456790124,0.25864197530864197,1.0
14,P13,1505.0,2026.0,4254.0,300.0,2495.0,675.0,311.0,3300.0,2065.0,904.0,1421.0,1096.0,4948.0,1805.0,0.0,0.0,130.0,2302.0,Cliff's Delta,-0.30864197530864196,-0.778395061728395,0.25987654320987597
15,P12,3803.0,972.0,1271.0,304.0,330.0,682.0,1058.0,2768.0,622.0,2043.0,12864.0,1010.0,2427.0,313.0,0.0,2826.0,2514.0,1607.0,Cliff's Delta,0.25925925925925924,-0.2839506172839506,0.7777777777777778
16,P10,1815.0,99955.0,436.0,1738.0,2690.0,29675.0,1195.0,48005.0,543.0,2306.0,2245.0,1005.0,187.0,2774.0,0.0,501.0,736.0,310.0,Cliff's Delta,-0.48148148148148145,-0.8765432098765432,0.012345679012345678
17,P11,32.0,2012.0,521.0,781.0,705.0,12.0,1328.0,51769.0,6962.0,379.0,945.0,570.0,751.0,948.0,313.0,215.0,1037.0,31.0,Cliff's Delta,-0.2839506172839506,-0.7537037037037037,0.2839506172839506
