,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,12151.0,5185.0,1889.0,40186.0,1472.0,275.0,3629.0,319.0,23033.0,816.0,3077.0,30160.0,20715.0,17717.0,0.0,3052.0,2194.0,2246.0,Cliff's Delta,-0.012345679012345678,-0.6049382716049383,0.531481481481481
1,P9,1289.0,798.0,93.0,48.0,934.0,799.0,498.0,0.0,601.0,767.0,4067.0,1547.0,330.0,43.0,0.0,339.0,144.0,123.0,Cliff's Delta,-0.09876543209876543,-0.6422839506172839,0.48148148148148145
2,P2,3341.0,1980.0,332.0,5838.0,882.0,1883.0,0.0,604.0,0.0,3081.0,3864.0,412.0,3272.0,2084.0,0.0,3760.0,2027.0,619.0,Cliff's Delta,0.2839506172839506,-0.2345679012345679,0.7777777777777778
3,P8,5211.0,2514.0,8008.0,2020.0,10716.0,10325.0,3813.0,7715.0,24664.0,10253.0,7845.0,1918.0,7574.0,2118.0,0.0,35032.0,8986.0,5261.0,Cliff's Delta,-0.13580246913580246,-0.654320987654321,0.43209876543209874
4,P1,3584.0,1648.0,390.0,2.0,8.0,19.0,6.0,6.0,4.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,Cliff's Delta,-0.7530864197530864,-0.9876543209876543,-0.35802469135802467
7,P7,3011.0,893.0,138.0,1844.0,9434.0,468.0,5106.0,69.0,0.0,105.0,440.0,1333.0,771.0,237.0,4.0,14.0,640.0,390.0,Cliff's Delta,-0.35802469135802467,-0.8518518518518519,0.20987654320987653
8,P5,2218.0,372.0,1148.0,0.0,801.0,1703.0,0.0,0.0,0.0,7999.0,1214.0,2777.0,8257.0,15617.0,0.0,317.0,2447.0,706.0,Cliff's Delta,0.5555555555555556,0.08641975308641975,0.9259259259259259
9,P14,257.0,5485.0,1808.0,2673.0,3263.0,8064.0,1880.0,4554.0,248.0,15124.0,7463.0,823.0,1174.0,296.0,322.0,2294.0,581.0,292.0,Cliff's Delta,-0.18518518518518517,-0.7777777777777778,0.4074074074074074
10,P6,993.0,1382.0,138.0,1294.0,708.0,2.0,146.0,0.0,2531.0,1210.0,1710.0,450.0,180.0,0.0,78.0,124.0,1666.0,369.0,Cliff's Delta,-0.04938271604938271,-0.5558641975308642,0.5311728395061726
13,P4,722.0,246.0,117.0,2765.0,445.0,445.0,1127.0,3894.0,1957.0,5518.0,5642.0,9203.0,1135.0,3576.0,1065.0,6078.0,3965.0,614.0,Cliff's Delta,0.6790123456790124,0.2345679012345679,0.9753086419753086
14,P13,2837.0,3017.0,5238.0,1360.0,2877.0,1104.0,566.0,4501.0,3194.0,1626.0,2332.0,1432.0,8492.0,5002.0,0.0,0.0,232.0,3673.0,Cliff's Delta,-0.18518518518518517,-0.7777777777777778,0.4080246913580241
15,P12,5353.0,1130.0,1666.0,604.0,3111.0,972.0,1760.0,4567.0,775.0,2754.0,24224.0,1427.0,3317.0,351.0,0.0,3494.0,3341.0,2261.0,Cliff's Delta,0.13580246913580246,-0.4074074074074074,0.7283950617283951
16,P10,2363.0,102249.0,2516.0,3786.0,3380.0,59282.0,2131.0,95174.0,741.0,4064.0,2918.0,1815.0,399.0,4486.0,0.0,840.0,1124.0,385.0,Cliff's Delta,-0.5308641975308642,-0.9259259259259259,0.012345679012345678
17,P11,62.0,3199.0,767.0,1168.0,841.0,26.0,1884.0,200289.0,8490.0,875.0,1259.0,971.0,1035.0,1178.0,939.0,494.0,3340.0,233.0,Cliff's Delta,-0.08641975308641975,-0.5808641975308642,0.4567901234567901
