,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,5706.0,2376.0,664.0,18548.0,513.0,103.0,886.0,129.0,11233.0,214.0,708.0,13519.0,16035.0,6851.0,0.0,1399.0,518.0,903.0,Cliff's Delta,0.037037037037037035,-0.5061728395061729,0.5555555555555556
1,P9,215.0,236.0,58.0,6.0,209.0,388.0,151.0,0.0,93.0,216.0,1232.0,558.0,77.0,12.0,0.0,130.0,71.0,40.0,Cliff's Delta,-0.024691358024691357,-0.5555555555555556,0.5064814814814812
2,P2,8.0,84.0,19.0,668.0,225.0,135.0,0.0,302.0,0.0,377.0,1053.0,89.0,1145.0,1016.0,0.0,1033.0,109.0,104.0,Cliff's Delta,0.48148148148148145,-0.08641975308641975,0.8765432098765432
3,P8,1369.0,902.0,3483.0,1087.0,3581.0,1262.0,1451.0,2426.0,12464.0,3118.0,1940.0,170.0,2068.0,610.0,0.0,17339.0,1841.0,1720.0,Cliff's Delta,-0.13580246913580246,-0.6790123456790124,0.4567901234567901
4,P1,1185.0,479.0,68.0,1.0,4.0,5.0,3.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,Cliff's Delta,-0.7654320987654321,-0.9876543209876543,-0.3947530864197533
7,P7,217.0,103.0,45.0,402.0,3835.0,10.0,525.0,38.0,0.0,0.0,182.0,280.0,41.0,23.0,2.0,7.0,167.0,208.0,Cliff's Delta,-0.2962962962962963,-0.7777777777777778,0.2962962962962963
8,P5,750.0,64.0,372.0,0.0,236.0,326.0,0.0,0.0,0.0,3066.0,372.0,460.0,128.0,9972.0,0.0,90.0,929.0,151.0,Cliff's Delta,0.4691358024691358,-0.08641975308641975,0.8765432098765432
9,P14,101.0,2370.0,455.0,1549.0,1543.0,3846.0,963.0,824.0,50.0,8350.0,4218.0,156.0,115.0,153.0,76.0,1888.0,167.0,99.0,Cliff's Delta,-0.13580246913580246,-0.7777777777777778,0.4074074074074074
10,P6,431.0,273.0,5.0,514.0,140.0,1.0,43.0,0.0,148.0,319.0,486.0,12.0,81.0,0.0,38.0,61.0,198.0,65.0,Cliff's Delta,-0.024691358024691357,-0.5802469135802469,0.5555555555555556
13,P4,245.0,120.0,43.0,1069.0,202.0,211.0,1.0,1926.0,105.0,2634.0,2325.0,4659.0,390.0,1153.0,451.0,1899.0,1575.0,323.0,Cliff's Delta,0.7777777777777778,0.35802469135802467,1.0
14,P13,1332.0,991.0,984.0,1060.0,382.0,429.0,255.0,1201.0,1129.0,722.0,911.0,336.0,3544.0,3197.0,0.0,0.0,102.0,1371.0,Cliff's Delta,-0.16049382716049382,-0.7283950617283951,0.43209876543209874
15,P12,1550.0,158.0,395.0,300.0,2781.0,290.0,702.0,1799.0,153.0,711.0,11360.0,417.0,890.0,38.0,0.0,668.0,827.0,654.0,Cliff's Delta,0.037037037037037035,-0.5061728395061729,0.6049382716049383
16,P10,548.0,2294.0,2080.0,2048.0,690.0,29607.0,936.0,47169.0,198.0,1758.0,673.0,810.0,212.0,1712.0,0.0,339.0,388.0,75.0,Cliff's Delta,-0.6049382716049383,-0.9506172839506173,-0.1111111111111111
17,P11,30.0,1187.0,246.0,387.0,136.0,14.0,556.0,148520.0,1528.0,496.0,314.0,401.0,284.0,230.0,626.0,279.0,2303.0,202.0,Cliff's Delta,0.037037037037037035,-0.5555555555555556,0.5555555555555556
