,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,24.0,37.0,45.0,27.0,21.0,7.0,20.0,7.0,9.0,15.0,3.0,22.0,13.0,24.0,0.0,14.0,18.0,25.0,Cliff's Delta,-0.2962962962962963,-0.7537037037037037,0.2839506172839506
1,P9,57.0,99.0,30.0,11.0,33.0,46.0,23.0,0.0,37.0,56.0,33.0,36.0,16.0,10.0,0.0,45.0,6.0,17.0,Cliff's Delta,-0.2839506172839506,-0.7530864197530864,0.24722222222222193
2,P2,10.0,5.0,4.0,16.0,11.0,4.0,0.0,4.0,0.0,40.0,21.0,6.0,31.0,30.0,0.0,16.0,17.0,24.0,Cliff's Delta,0.7160493827160493,0.20987654320987653,1.0
3,P8,35.0,18.0,39.0,8.0,40.0,24.0,9.0,28.0,160.0,79.0,49.0,9.0,42.0,38.0,0.0,25.0,79.0,73.0,Cliff's Delta,0.2716049382716049,-0.2845679012345679,0.8024691358024691
4,P1,43.0,39.0,29.0,7.0,16.0,20.0,8.0,9.0,5.0,6.0,10.0,4.0,6.0,0.0,4.0,0.0,10.0,12.0,Cliff's Delta,-0.654320987654321,-0.9506172839506173,-0.20987654320987653
7,P7,31.0,32.0,27.0,47.0,31.0,11.0,19.0,9.0,0.0,2.0,20.0,30.0,8.0,4.0,6.0,3.0,7.0,4.0,Cliff's Delta,-0.6049382716049383,-1.0,-0.06111111111111167
8,P5,8.0,3.0,6.0,0.0,14.0,20.0,0.0,0.0,0.0,19.0,17.0,16.0,16.0,9.0,1.0,7.0,11.0,5.0,Cliff's Delta,0.5061728395061729,0.012345679012345678,0.9259259259259259
9,P14,45.0,57.0,54.0,14.0,52.0,74.0,35.0,32.0,14.0,62.0,36.0,14.0,6.0,10.0,12.0,40.0,35.0,59.0,Cliff's Delta,-0.2962962962962963,-0.8148148148148148,0.2716049382716049
10,P6,9.0,11.0,1.0,11.0,3.0,1.0,4.0,0.0,7.0,11.0,26.0,3.0,8.0,0.0,2.0,9.0,24.0,2.0,Cliff's Delta,0.19753086419753085,-0.37037037037037035,0.7283950617283951
13,P4,19.0,10.0,3.0,24.0,22.0,38.0,4.0,6.0,10.0,47.0,17.0,38.0,20.0,32.0,6.0,38.0,30.0,15.0,Cliff's Delta,0.49382716049382713,-0.037037037037037035,0.8518518518518519
14,P13,54.0,41.0,32.0,12.0,24.0,18.0,9.0,40.0,14.0,43.0,26.0,45.0,29.0,29.0,0.0,0.0,18.0,28.0,Cliff's Delta,-0.024691358024691357,-0.5555555555555556,0.5802469135802469
15,P12,15.0,9.0,10.0,4.0,13.0,8.0,3.0,8.0,7.0,20.0,14.0,8.0,16.0,4.0,0.0,29.0,14.0,24.0,Cliff's Delta,0.41975308641975306,-0.13580246913580246,0.8891975308641972
16,P10,40.0,74.0,33.0,98.0,58.0,60.0,43.0,41.0,22.0,64.0,55.0,62.0,22.0,51.0,0.0,24.0,15.0,17.0,Cliff's Delta,-0.37037037037037035,-0.8271604938271605,0.18518518518518517
17,P11,11.0,26.0,13.0,24.0,11.0,3.0,19.0,33.0,15.0,15.0,23.0,15.0,21.0,28.0,8.0,37.0,37.0,6.0,Cliff's Delta,0.20987654320987653,-0.3333333333333333,0.7283950617283951
