,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,11.0,9.0,22.0,24.0,14.0,9.0,13.0,7.0,12.0,13.0,7.0,14.0,9.0,8.0,0.0,5.0,9.0,12.0,Cliff's Delta,-0.4567901234567901,-0.8518518518518519,0.06203703703703675
1,P9,24.0,53.0,43.0,26.0,28.0,16.0,31.0,1.0,21.0,47.0,3.0,32.0,9.0,9.0,11.0,38.0,9.0,21.0,Cliff's Delta,-0.2716049382716049,-0.8151234567901234,0.2345679012345679
2,P2,4.0,0.0,7.0,3.0,3.0,6.0,0.0,8.0,0.0,6.0,5.0,9.0,7.0,9.0,1.0,10.0,6.0,11.0,Cliff's Delta,0.6172839506172839,0.13580246913580246,0.9506172839506173
3,P8,28.0,26.0,18.0,11.0,13.0,26.0,5.0,10.0,24.0,10.0,8.0,3.0,7.0,3.0,0.0,7.0,14.0,20.0,Cliff's Delta,-0.6666666666666666,-0.9753086419753086,-0.2345679012345679
4,P1,20.0,17.0,29.0,17.0,24.0,27.0,13.0,27.0,10.0,10.0,12.0,8.0,15.0,1.0,4.0,5.0,19.0,16.0,Cliff's Delta,-0.7654320987654321,-1.0,-0.4074074074074074
7,P7,32.0,40.0,28.0,28.0,23.0,8.0,23.0,13.0,0.0,19.0,12.0,20.0,20.0,14.0,0.0,14.0,17.0,32.0,Cliff's Delta,-0.30864197530864196,-0.8271604938271605,0.284259259259259
8,P5,7.0,3.0,4.0,0.0,14.0,12.0,0.0,0.0,0.0,13.0,19.0,10.0,10.0,3.0,0.0,8.0,6.0,8.0,Cliff's Delta,0.41975308641975306,-0.11141975308641973,0.8521604938271602
9,P14,33.0,25.0,34.0,5.0,30.0,50.0,16.0,20.0,10.0,29.0,22.0,12.0,3.0,22.0,11.0,20.0,17.0,30.0,Cliff's Delta,-0.2839506172839506,-0.7530864197530864,0.23487654320987625
10,P6,9.0,10.0,8.0,10.0,4.0,4.0,2.0,8.0,3.0,6.0,12.0,1.0,6.0,2.0,2.0,6.0,8.0,7.0,Cliff's Delta,-0.2345679012345679,-0.7533950617283951,0.2839506172839506
13,P4,14.0,10.0,3.0,11.0,6.0,18.0,5.0,9.0,6.0,20.0,5.0,18.0,10.0,10.0,1.0,13.0,14.0,5.0,Cliff's Delta,0.13580246913580246,-0.4200617283950617,0.7160493827160493
14,P13,25.0,14.0,20.0,11.0,10.0,22.0,5.0,11.0,8.0,22.0,10.0,18.0,10.0,10.0,0.0,0.0,17.0,9.0,Cliff's Delta,-0.2839506172839506,-0.7657407407407407,0.30864197530864196
15,P12,8.0,11.0,8.0,9.0,9.0,17.0,11.0,13.0,9.0,8.0,9.0,9.0,6.0,12.0,2.0,7.0,6.0,16.0,Cliff's Delta,-0.43209876543209874,-0.8765432098765432,0.1111111111111111
16,P10,24.0,26.0,18.0,14.0,22.0,24.0,26.0,30.0,11.0,30.0,25.0,26.0,15.0,23.0,0.0,6.0,14.0,13.0,Cliff's Delta,-0.25925925925925924,-0.7407407407407407,0.284259259259259
17,P11,14.0,17.0,7.0,22.0,10.0,4.0,9.0,18.0,6.0,20.0,14.0,8.0,16.0,16.0,6.0,31.0,22.0,12.0,Cliff's Delta,0.2962962962962963,-0.2222222222222222,0.7530864197530864
