,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P9,7.0,20.0,2.0,1.0,1.0,17.0,4.0,0.0,11.0,3.0,0.0,11.0,0.0,0.0,0.0,14.0,0.0,5.0,Cliff's Delta,-0.38271604938271603,-0.8027777777777778,0.13641975308641918
1,P2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,-0.012345679012345678,-0.3333333333333333,0.3333333333333333
2,P8,2.0,4.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,-0.4444444444444444,-0.7777777777777778,-0.04938271604938271
3,P1,5.0,2.0,7.0,5.0,6.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,Cliff's Delta,-0.7901234567901234,-0.9876543209876543,-0.4688271604938274
5,P7,5.0,4.0,21.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,Cliff's Delta,-0.19753086419753085,-0.7037037037037037,0.321296296296296
6,P14,11.0,22.0,2.0,1.0,14.0,9.0,4.0,7.0,0.0,2.0,0.0,0.0,11.0,14.0,5.0,10.0,0.0,0.0,Cliff's Delta,-0.2962962962962963,-0.7654320987654321,0.25956790123456763
7,P6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,-0.2222222222222222,-0.5555555555555556,0.0
10,P4,1.0,0.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,5.0,5.0,0.0,0.0,Cliff's Delta,0.13580246913580246,-0.37037037037037035,0.6296296296296297
11,P13,1.0,0.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,6.0,3.0,5.0,3.0,3.0,0.0,1.0,6.0,2.0,Cliff's Delta,0.4567901234567901,-0.012654320987654302,0.8521604938271602
12,P12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,0.0,-0.3333333333333333,0.3333333333333333
13,P10,1.0,6.0,3.0,1.0,0.0,4.0,4.0,4.0,0.0,3.0,5.0,6.0,5.0,4.0,0.0,1.0,1.0,2.0,Cliff's Delta,0.14814814814814814,-0.37067901234567896,0.6666666666666666
14,P11,4.0,4.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,0.0,5.0,6.0,1.0,Cliff's Delta,0.24691358024691357,-0.2966049382716049,0.7163580246913577
15,P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,0.0,0.0,0.0
17,P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,0.0,0.0,0.0
