,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P9,47.98288966049382,16.131840277777776,6.94625,24.816203703703703,3.0532291666666667,1.9865567129629629,,0.02648148148148148,,,22.003125,15.168460648148148,,0.0775462962962963,,20.78959490740741,,2.0993055555555555,,Cliff's Delta,-0.011111111111111112,-0.2777777777777778,0.26666666666666666
1,P2,,,,,,,,,,,,,,,,,,,,Cliff's Delta,0.0,0.0,0.0
2,P8,2.582859848484848,0.6698418209876543,0.5083294753086419,6.185331790123457,2.0776190476190473,0.2248900462962963,10.529050925925926,2.0691435185185183,,,42.71788194444444,21.726263888888887,,,53.85622685185185,1.82073082010582,12.797367724867724,,,Cliff's Delta,0.3333333333333333,0.011111111111111112,0.6449999999999996
3,P1,,,,,,,,,,,,,,,,,,,,Cliff's Delta,0.0,0.0,0.0
5,P7,139.68609182098766,8.128096064814814,18.661414351851853,0.0,28.92806712962963,,0.028877314814814814,,,,,,,,,,,,,Cliff's Delta,0.0,0.0,0.0
6,P14,37.68048032407407,8.573688822751324,1.374355709876543,23.940358796296298,9.393189484126983,7.37141975308642,3.4656944444444444,4.7227700617283945,,38.074375,0.37679503367003364,3.90765625,,,,78.42218171296297,69.45374074074074,4.957381365740741,173.02050925925926,Cliff's Delta,0.1111111111111111,-0.3111111111111111,0.5222222222222223
7,P6,,,,,,,,,,,1.930752314814815,,,,,,,,,Cliff's Delta,0.0,0.0,0.0
10,P4,12.420026041666667,22.1028125,0.008796296296296297,5.256840277777778,0.6298567708333332,10.445873842592594,8.627245370370371,2.4138483796296297,,,4.894189814814815,,6.7411082175925925,2.4223098544973545,2.0329668209876544,1.299777199074074,0.9442052469135803,0.0,3.8840625,Cliff's Delta,-0.28888888888888886,-0.6666666666666666,0.13333333333333333
11,P13,,,,,,,,,,,1.849363425925926,,,,,,,,,Cliff's Delta,0.0,0.0,0.0
12,P12,,,,,,,,,,,1.020559413580247,,12.922777777777778,,,,,,,Cliff's Delta,0.0,0.0,0.0
13,P10,11.890497685185185,3.549507275132275,1.0050115740740742,,17.92712962962963,2.3470312499999997,1.9905941358024692,3.2766493055555554,6.477777777777778,7.8435648148148145,1.429585262345679,0.8050356867283951,0.46100694444444446,3.325714699074074,1.2244004629629628,23.92096064814815,3.467974537037037,7.849803240740741,,Cliff's Delta,-0.2222222222222222,-0.6444444444444445,0.2558333333333331
14,P11,10.043715277777778,,32.83120370370371,4.093125,13.998182870370371,,35.99748842592592,3.9653125,,28.12462962962963,3.502042824074074,,41.724444444444444,3.3567824074074077,,6.731719907407407,1.20055362654321,,18.083402777777778,Cliff's Delta,-0.17777777777777778,-0.5333333333333333,0.17777777777777778
